"","Heritability","Male Insecticide Exposure","Female Insecticide Exposure","Female Fitness Cost","Male Fitness Cost","Intervention Coverage","Dispersal"
"1",0.169130053538992,0.995225986814173,0.492078443262586,0.0616495713531999,0.00901497685218043,0.667199356261566,0.289113708637431
"2",0.208127870803687,0.355372174174106,0.870440251376806,0.089538717513266,0.00910612135356106,0.701637995084152,0.443441565862186
"3",0.201563237753429,0.399495910859201,0.85976209650205,0.301932566261761,0.135105718504767,0.734079997834712,0.800743597200625
"4",0.13585122150738,0.616605328060733,0.527814136178675,0.331856279596747,0.492007047164851,0.875399004219063,0.512437411896065
"5",0.0550229234986706,0.952983514737291,0.564694966156245,0.578645061253784,0.206250966590249,0.246185020441003,0.80759142112866
"6",0.114637021030788,0.590864362886874,0.775573498459533,0.317546518475807,0.248182695462837,0.637024724833071,0.707560635226518
"7",0.17966575375828,0.361190162083041,0.790272910623322,0.0734620889391415,0.101671444151701,0.74822614790149,0.762110012752451
"8",0.178377096624533,0.681635008174134,0.699638784884219,0.567816489851651,0.29020630720795,0.64031392660819,0.736304110222682
"9",0.158117387213372,0.12590098853372,0.869513304699957,0.520580446499523,0.479083802800833,0.470752040242404,0.600042400022335
"10",0.207260642635799,0.397891672243131,0.401797992179962,0.146461480731846,0.039648829283922,0.305428549715579,0.562204134051353
"11",0.229741698618094,0.65595585609572,0.877679981264356,0.557862131943038,0.476297580977821,0.76660317697417,0.364616501099877
"12",0.235698431385658,0.654345937664947,0.506554829999199,0.401204513491739,0.40436837304885,0.462943680802994,0.417833599357791
"13",0.268538568170462,0.0240828950066119,0.8543423853182,0.555012761377797,0.0547526972033363,0.717570031041428,0.382855413094834
"14",0.0505035014239955,0.714131447809376,0.642055870194919,0.571678908997745,0.133870111207904,0.81395816802185,0.121123280908316
"15",0.116880649877107,0.66373551651421,0.563075749996887,0.348285778968367,0.498526775933468,0.405168040989414,0.563705800833106
"16",0.0953948852512403,0.91071712155696,0.684813426683517,0.125266887555571,0.272808847036784,0.135871470547356,0.834061705074459
"17",0.0979107984450064,0.519451941089984,0.587682304479973,0.106329782118196,0.00159883069346845,0.627087469162308,0.474167192677744
"18",0.0551280903440784,0.485146392172994,0.654329240510636,0.563400715861995,0.134843615460578,0.644578925508372,0.147694976562448
"19",0.0733964851986733,0.294931744101085,0.731046244756365,0.554024436336496,0.572778896590196,0.84296494569879,0.423145425342768
"20",0.168749672246259,0.831236419317359,0.893118501026998,0.186359743758078,0.383052387216303,0.368128466506824,0.303780544591732
"21",0.117512415701128,0.360192331678513,0.809918603125657,0.231196685626769,0.227480897747944,0.767790034790672,0.251364065683819
"22",0.293948085665808,0.705881640604464,0.419977359294379,0.359134644893022,0.328932669785267,0.494694338711202,0.774837054535002
"23",0.255516668259888,0.704733666928904,0.772697871297388,0.0218362205995992,0.268513807542505,0.155101933651343,0.654376841716319
"24",0.209132530580787,0.420907370458031,0.520264282911783,0.513841368797203,0.398172212881383,0.473442981058769,0.747641137425043
"25",0.263759945543564,0.902357102885796,0.761453230024781,0.233408884972975,0.561205074408649,0.635571859339923,0.641789938997291
"26",0.0955096375985071,0.812880988459755,0.734774673978263,0.352587159782461,0.2533981986325,0.677149221883044,0.491439208658971
"27",0.159157826293469,0.572877906537522,0.722090238865651,0.227000336557472,0.448346465983601,0.62052259799771,0.191121740847603
"28",0.0914454306254978,0.324000671470305,0.803230098585063,0.320776486645637,0.269287669569062,0.388281318193264,0.7154179695848
"29",0.217589578832115,0.823274299503816,0.625910753958137,0.267669776932462,0.575760383798573,0.205902575437129,0.756803205580376
"30",0.19107594378842,0.146519131779484,0.743432415742008,0.563046334088418,0.512763707102548,0.27692981528759,0.802861468309909
"31",0.137836090832646,0.454481377251772,0.608945558786136,0.414853501322811,0.274332980822771,0.827718843558393,0.10155722986497
"32",0.13687787927629,0.864020494374167,0.702608620446688,0.0713613832086101,0.121223942257932,0.787578710537478,0.16508339308735
"33",0.0553330934474128,0.288251742317993,0.631841341980966,0.0961945712122479,0.0245608190146731,0.430309399188571,0.146406843347885
"34",0.231451000148256,0.959718035129458,0.543686146846553,0.132242653965195,0.434005874621738,0.857914956935085,0.779988042391837
"35",0.148656045709283,0.373064186307508,0.77607886218098,0.508132203681449,0.231298667501677,0.153369295008257,0.655275951522663
"36",0.061592685395712,0.712130055368273,0.671850188273843,0.145681808976091,0.22162300024284,0.674895533855148,0.805717211481109
"37",0.28422253890665,0.555462387188105,0.864889001016528,0.278793302228264,0.481305952465052,0.71845618250452,0.778504284587465
"38",0.189610096136492,0.820248220611317,0.405107534257555,0.3897404917279,0.231480438899827,0.267063231724687,0.227190802246481
"39",0.189157690517022,0.347793215956818,0.478935523867025,0.176073600314107,0.295967018814127,0.330781930086017,0.649973597870022
"40",0.181021320804593,0.0397188880023081,0.485002351973532,0.405827655409659,0.385144893130521,0.468880546682812,0.545132562182546
"41",0.0737512955948245,0.764274310370674,0.630720636144094,0.526600098279527,0.150562532510436,0.721111217041723,0.81569687834587
"42",0.241028579157195,0.721086805853061,0.804998248851998,0.192742885215512,0.55155911305408,0.862313681338877,0.429092688128352
"43",0.162903449083678,0.435528516845778,0.862803095421009,0.0158001262477906,0.0636878931691404,0.679389033366703,0.654180610725097
"44",0.210701386173896,0.05224727942436,0.553719059386663,0.554138387528841,0.155070782919536,0.351516985681541,0.839456524122469
"45",0.0535308454264654,0.148229858241184,0.659709495934215,0.493616172850338,0.48305062670298,0.458025023038983,0.150881852475293
"46",0.172339003133727,0.806139619673276,0.45139555044414,0.472869653843386,0.101404040043917,0.554124147128239,0.835052051986456
"47",0.115633461882581,0.612936488801055,0.714026305308286,0.47540700602477,0.334193831596623,0.117693793092072,0.583066151713655
"48",0.236064705751347,0.56935730287279,0.631781132078916,0.0453165792333418,0.466713899954266,0.781899450699091,0.882233484381028
"49",0.111236354444909,0.615074851683108,0.82530782389713,0.227390324261978,0.29900980363282,0.268861390292943,0.787210411597379
"50",0.153297162157018,0.174632733440632,0.4509587885855,0.0922726358787287,0.196466158872223,0.592535675385334,0.12357425960321
"51",0.0627171709195478,0.820021594619332,0.57843657659865,0.558305246204499,0.244889403603513,0.843073524038196,0.142999653597437
"52",0.23284461112055,0.215588050819654,0.665010559812537,0.305481476737586,0.421921949964237,0.67969600352034,0.60323919370845
"53",0.180776617816614,0.657930641307123,0.618706049148901,0.357466443223314,0.524840074059617,0.765784502983727,0.584274094660394
"54",0.279069638834626,0.900267445533862,0.686810375028732,0.271874598712513,0.463734253034865,0.816080464780591,0.42918973042693
"55",0.173348364573077,0.726129096698854,0.526388442538469,0.326892485865755,0.336645094032536,0.684396935619861,0.234793418897465
"56",0.278645543563308,0.932003035042342,0.862078765697195,0.158764907491831,0.439401542652671,0.295267839794382,0.705241098864935
"57",0.228447720995429,0.413027617037296,0.464015142757329,0.414025495193189,0.312412562651594,0.306016662439667,0.496664008028172
"58",0.102800700018147,0.395645868140459,0.706959706943203,0.297831357068324,0.0293994801048329,0.502559893687628,0.61013757775832
