"","Heritability","Male Insecticide Exposure","Female Insecticide Exposure","Fitness Cost","Intervention Coverage","Dispersal"
"1",0.256849865292758,0.416454139280599,0.53944998633475,0,1,0
"2",0.0827529200100224,0.917915715691866,0.882144631874538,0,1,0
"3",0.218575523843593,0.594161878206348,0.830969671802316,0,1,0
"4",0.281423843620147,0.925260225777142,0.591258571828716,0,1,0
"5",0.167544106956117,0.308801951400936,0.803008438495058,0,1,0
"6",0.14375582854941,0.969951224038797,0.683154659742373,0,1,0
"7",0.115464310334192,0.0224971157437656,0.625355397795211,0,1,0
"8",0.128927091123164,0.516662374372687,0.523598042272008,0,1,0
"9",0.231659916353237,0.338593534536893,0.774338791630068,0,1,0
"10",0.250360614563862,0.583058713790216,0.495102773463167,0,1,0
"11",0.057703616160946,0.618270951588871,0.521216329074767,0,1,0
"12",0.141923956172948,0.46464292958728,0.730628589860233,0,1,0
"13",0.216655611700297,0.48550340612717,0.649168531576241,0,1,0
"14",0.21495163570845,0.984997292700037,0.480586363443709,0,1,0
"15",0.248715433202719,0.128101163391955,0.860284452114324,0,1,0
"16",0.218100176635641,0.959797217241442,0.626374692162988,0,1,0
"17",0.144304355370055,0.407665909222513,0.875883585050888,0,1,0
"18",0.15406822196783,0.114551552610006,0.791005535152531,0,1,0
"19",0.21735660343382,0.692357797174714,0.645326960182656,0,1,0
"20",0.136955514429021,0.303928125515487,0.779093784108898,0,1,0
"21",0.0533273678049678,0.480813456594618,0.404584862483759,0,1,0
"22",0.291128217860288,0.708872785584629,0.875137197284657,0,1,0
"23",0.294266667469963,0.916133111808728,0.751504146539839,0,1,0
"24",0.244683503786521,0.26098537639929,0.73439750656744,0,1,0
"25",0.247414668953069,0.614860252563329,0.61912541813124,0,1,0
"26",0.220471803455218,0.238892808613926,0.878420281866472,0,1,0
"27",0.0999914759378648,0.878419112758059,0.537362719240575,0,1,0
"28",0.0971461022856878,0.965567900392134,0.547241968515608,0,1,0
"29",0.162183782251889,0.610390868623508,0.810647238541301,0,1,0
"30",0.165038981075061,0.203898323070025,0.65270154476217,0,1,0
"31",0.186095810425584,0.874496838509012,0.564415317870444,0,1,0
"32",0.14615113884696,0.713200562456297,0.513639821181912,0,1,0
"33",0.261159212351369,0.822349788910337,0.697285332117346,0,1,0
"34",0.0990847857547342,0.348385918661626,0.546832285688282,0,1,0
"35",0.200672535991354,0.415067415332003,0.679301951689576,0,1,0
"36",0.0812020995201427,0.971772643913142,0.662295019246428,0,1,0
"37",0.107695709237328,0.715787114091916,0.879446148852841,0,1,0
"38",0.160634318010055,0.277507217652723,0.595207968410291,0,1,0
"39",0.141131388343731,0.508209839433478,0.787936345143337,0,1,0
"40",0.256183741992025,0.897894332893379,0.618513180323178,0,1,0
"41",0.0684593304520007,0.596452790157171,0.504801074223663,0,1,0
"42",0.12033430024999,0.184558675677422,0.449072568236012,0,1,0
"43",0.0560400887525291,0.995347635719972,0.873932556981058,0,1,0
"44",0.107104252326291,0.764928402328724,0.617156665031984,0,1,0
"45",0.230651052820601,0.436132096357876,0.491428309991374,0,1,0
"46",0.298690812482603,0.0496474881325383,0.603295777316229,0,1,0
"47",0.281221612059139,0.554047940803971,0.81123285668157,0,1,0
"48",0.1796569864691,0.265544078781595,0.876496886482346,0,1,0
"49",0.113756268521759,0.594571009394713,0.768507876099856,0,1,0
"50",0.255346904857561,0.98039340410009,0.696658526197728,0,1,0
"51",0.222269480720256,0.196649542842899,0.489877955832309,0,1,0
"52",0.218850778417534,0.0843681906088721,0.779747589799645,0,1,0
"53",0.266270944759389,0.541199231238151,0.529911142926291,0,1,0
"54",0.0823820529953926,0.454331069222186,0.444681266800803,0,1,0
"55",0.118288496042741,0.349786960078217,0.511867804485955,0,1,0
"56",0.177217406276416,0.651163835764304,0.45457775263763,0,1,0
"57",0.0561049250361859,0.729006555200415,0.815675361355767,0,1,0
"58",0.0587177024555509,0.978928479441116,0.593435217421036,0,1,0
"59",0.104184209548088,0.916569301132439,0.697901833663089,0,1,0
"60",0.216414421000902,0.057067061824305,0.49171090625315,0,1,0
"61",0.290159087318624,0.0895326679928228,0.538293822437059,0,1,0
